Rondo Piastowskie,Os.Złotego Wieku
Zabierzów Piekarnia,Zabierzów Gimnazjum
Młynka,Pisary Skrzyżowanie
Radziszów Zacisze,Radziszów Podwale
Sieroszewskiego,Szpital Żeromskiego
Os.Podwawelskie,Most Grunwaldzki
Skawina Podbory,Skawina Piłsudskiego
Garliczka Chochół,Garlica Duchowna Rozjazd
Miechowity,Bora-Komorowskiego
Agatowa,Bieżanów Pomnik
Siewna Wiadukt,Clepardia
Pleszowska,Mackiewicza
Os.Na Lotnisku,Rondo Kocmyrzowskie
Różyckiego,Conrada
Świątniki I,Świątniki Cmentarz
Wieliczka Cmentarz,Wieliczka Kościół
Sodfiny Kolonia,Sodfiny
Nowy Kleparz,Grottgera
Żwirownia,Rzepakowa Świetlica
Aleja Róż,Plac Centralny
Czarnochowice I,Kokotów I
Szymańskiego,Zakład Przeróbki
Zelków Wola,Zelków Staw
Kopanka II,Kopanka Kapliczka
Rondo Czyżyńskie,Os.Kolorowe
Kuklińskiego,Klimeckiego
Pielgrzymowice II,Wysyłek
Gaj Zadziele,Mogilany Rynek
Tonie Skrzyżowanie,Gospodarska
Surzyckiego,Mały Płaszów
Michałowice Ogrodowa,Młodziejowice Park
Wola Radziszowska,Wola Radziszowska Chorzyny
Zabierzów,Skała Kmity
Popielidów,Piasta Kołodzieja
Surzyckiego,Obrońców Modlina
Pychowice,Rostworowskiego
Węgrzce Magiczne Wzgórze,Węgrzce Sudół
Wadów Osiedle,Wadów Szkoła
Szczecińska,Saska
Dworzec Towarowy,Politechnika
Os.Na Stoku Szkoła,Darwina
Wadowska,Lubocza Trafo
Zielonki Rozjazd,Trojanowice I
Wieliczka CPN,Wieliczka Kościół
Wolica Most,Niepołomice Kolejowa
Brzeska,Cło
Wieliczka Rynek,Wieliczka
Os.Oświecenia,Okulickiego
Rondo Barei,Miechowity
Grębynice I,Grębynice II
Brücknera,Skotniki
Zabierzów Sklep,Kraków Business Park
Sodfiny,Sodfiny Kolonia
Zielonki UG,Marszowiec
Żerkowice Kolonia,Żerkowice Skrzyżowanie
Bielańskie Skały,Wodociągi
Góra Borkowska,Borek Fałęcki
Rzozów Skotnica,Rzozów I
Leroy Merlin,Droga do Rząski
Komorowskiego,Cracovia Stadion
Malborska,Bieżanowska
Brzeźnica Kuźnia,Jaśkowice
Dworzec Główny Zachód,Dworzec Główny
Pisary Dwór,Pisary Kiosk
Wolica II,Wolica I
Włosań Kopań,Włosań Krzyżówka
Wola Batorska Mikoniowiec,Wola Batorska  Borek
Czerwieńskiego,Fiszera
Smolki,Rondo Matecznego
Przegorzały,Zaskale
Rzozów Zagonnie,Rzozów Skotnica
Krzęcin Sklep,Krzęcin Cmentarz
Tomaszowice I,Tomaszowice
Wiktorowice Granica,Wiktorowice Centrum
Kamieńskiego Wiadukt,Bonarka
Niepołomice Kościuszki,Niepołomice Rynek
Brama nr 5,Koksochemia
Węgrzce Centrum,Węgrzce
Niepołomice Jazy,Niepołomice Batorego II
Wesele,Bronowice
Zelków Wola,Bolechowice
Na Załęczu,Habina
Teatr Ludowy,Kocmyrzowska
Ważewskiego,Libertów
Na Krępaku,Przegorzały
Dojazdów PKS,Sulechów
Rączna II,Rączna Osiedle
Buków Szkoła,Kulerzów
Oczyszczalnia Ścieków  Kujawy ,Kujawy
Lasek Mogilski,Stare Wiślisko
Wielkie Drogi Ośrodek Zdrowia,Wielkie Drogi PKP
Praska,Rynek Dębnicki
Konary Włosań,Konary Sęk
Nowy Kleparz,Bratysławska
Rusocice I,Rusocice Skład
Cracovia Stadion,Cracovia
Wiślicka,Os.Dywizjonu 303
Kantorowice,Gustawa Morcinka
Tonie,Gaik
Krzęcin Szkoła,Krzęcin Kościół
Trojadyn,Trojadyn Trafo
Wiślicka,Okulickiego
Miechowity,Rondo Mogilskie
Elektrociepłownia Kraków,M1  Nowohucka
Lusina I,Lusina Dwór
Dąbrowa Szlachecka Krzemiennik,Wołowice Szkoła
Stojałowskiego,Os.Kurdwanów
Aleksandry,Nowy Bieżanów Południe
Obrońców Modlina,Zajezdnia Płaszów
Zielonki Skrzyżowanie,Zielonki UG
Czernichów Stacja Paliw,Wołowice Niwa
Cholerzyn,Budzyń I
Poronińska,Smoleńskiego I
Cmentarz Podgórski,Powstańców Wielkopolskich
Pachońskiego,Prądnik Biały Zachód
Nowohucka,M1 Al. Pokoju
Masłomiąca I,Masłomiąca
Korzkiew I,Korzkiew II
Rondo Młyńskie,Miechowity
Kopiec Wandy,Bardosa
Nowy Prokocim,Nowy Bieżanów Południe
M1  Nowohucka,Elektrociepłownia Kraków
Szpital Narutowicza,Lekarska
Skawina Zachodnia,Skawina Elektrownia
Brzeźnica Pasieka,Brzeźnica
